,mgr_r
1985-11,0.06828601616233025
1985-12,0.09278251215771481
1986-01,0.015404886367417974
1986-02,0.08902845046992529
1986-03,0.09379860088573709
1986-04,0.0278545657601986
1986-05,0.058285380794636424
1986-06,0.08704717144969568
1986-07,-0.019001834318521805
1986-08,0.022627319064731474
1986-09,-0.08099957563595389
1986-10,0.09585374531555894
1986-11,-0.0017187159059795687
1986-12,-0.0385570061062101
1987-01,0.18376390847423166
1987-02,-0.014482424703118344
1987-03,0.026793765660825135
1987-04,-0.007901391645444825
1987-05,-0.0012061082629027838
1987-06,0.026650503270784262
1987-07,0.07790226706005181
1987-08,0.09781069112341503
1987-09,0.006737809565211462
1987-10,-0.1595713793827429
1987-11,-0.037461103629157694
1987-12,0.06192417085522661
1988-01,0.01593001490957458
1988-02,0.046997974268137815
1988-03,-0.0013652300532762621
1988-04,-0.007854262185832354
1988-05,-0.01779950400542185
1988-06,0.03977036457344313
1988-07,0.023196095305319655
1988-08,0.00652577105881054
1988-09,0.06618904604291002
1988-10,0.021564589913203456
1988-11,0.0032449932190312574
1988-12,0.042959843947263196
1989-01,0.03385862358115447
1989-02,-0.001682133124404689
1989-03,0.0855086726950719
1989-04,0.04007879026872119
1989-05,0.07091621648111449
1989-06,0.004256202998282995
1989-07,0.10902332326734254
1989-08,-0.011483299877507087
1989-09,0.009825804761647829
1989-10,0.011440142908703377
1989-11,0.0179203760585563
1989-12,0.016183601387166357
1990-01,-0.07279283971132967
1990-02,0.012127201715097314
1990-03,0.04530325823445175
1990-04,0.03472329209436929
1990-05,0.049149465037428744
1990-06,0.061291100055242596
1990-07,0.029335512970913157
1990-08,-0.03297078224644058
1990-09,-0.027806038974553048
1990-10,0.06041792368370301
1990-11,0.06996089518054337
1990-12,0.036936582830623885
1991-01,0.02035234711394844
1991-02,0.07074693015373575
1991-03,0.03741118607843876
1991-04,-0.03231784840470706
1991-05,0.03420313994982837
1991-06,-0.03740126525361828
1991-07,0.071264475645767
1991-08,0.056921955871786376
1991-09,-0.03471257116829468
1991-10,-0.028817461066472504
1991-11,-0.0018250880115345614
1991-12,0.108158154377042
1992-01,-0.030532647260775373
1992-02,0.0005169561962078033
1992-03,-0.021199407984230624
1992-04,0.0520468454701042
1992-05,0.00023053138137858233
1992-06,-0.07661234223249509
1992-07,0.03187638659995521
1992-08,-0.019116627172794175
1992-09,0.021242169617596524
1992-10,-0.018231950915375106
1992-11,0.008710401737269323
1992-12,-0.0023310641711715967
1993-01,-0.02475427950081579
1993-02,-0.022424557418466266
1993-03,0.010947031596713088
1993-04,-0.09863496158655069
1993-05,0.014722937211513236
1993-06,0.005255210659002186
1993-07,-0.017342882719728867
1993-08,-0.010585361265442045
1993-09,-0.03362406086511919
1993-10,0.06347000511155634
1993-11,0.015898393300507047
1993-12,0.0054533672690610935
1994-01,0.026397631899040125
1994-02,-0.031375320418445964
1994-03,-0.07627066437312666
1994-04,0.060033720337114384
1994-05,-0.038364133451741673
1994-06,-0.001820674653895312
1994-07,0.030439787674008383
1994-08,0.07295826271755726
1994-09,-0.006358503647357044
1994-10,-0.0007857432323039983
1994-11,-0.00843820321295883
1994-12,0.013454044635179845
1995-01,0.025690147622570353
1995-02,0.013828151693251405
1995-03,0.03267279966891153
1995-04,-0.017756898924948136
1995-05,0.038282371607797204
1995-06,-0.003507661048593177
1995-07,-0.02521865301387028
1995-08,0.0249945065289567
1995-09,0.056559071503874646
1995-10,0.021191186230930168
1995-11,0.03376454349635843
1995-12,0.03949978602754893
1996-01,0.015616195789483036
1996-02,0.04474173728347511
1996-03,-0.02211630113290588
1996-04,-0.02748928694712071
1996-05,0.056162899840238444
1996-06,0.035540015102666904
1996-07,-0.02489187846855561
1996-08,-0.05152947405189065
1996-09,0.0069961959083183305
1996-10,0.01816683638413346
1996-11,0.060815625869590356
1996-12,0.064660724556304
1997-01,0.07382627281586973
1997-02,0.06451078746158936
1997-03,-0.09432662814045893
1997-04,0.039196358088321594
1997-05,0.07017875765733626
1997-06,0.015730680559845552
1997-07,0.012619508097285577
1997-08,-0.06575753771247547
1997-09,0.02080458745900837
1997-10,-0.04147010508721828
1997-11,0.06740782953881266
1997-12,0.03942911754554708
1998-01,-0.0551541437915396
1998-02,0.0585433558152823
1998-03,0.028136578017621997
1998-04,-0.07350513994470194
1998-05,0.021438645534924312
1998-06,0.047783082346566336
1998-07,0.02863199570170617
1998-08,-0.09278725663083967
1998-09,0.057262139616233027
1998-10,0.09955526479730005
1998-11,0.06004097015182053
1998-12,-0.019226911944825356
1999-01,-0.0653833340414914
1999-02,-0.06793265196743391
1999-03,-0.05183190505735806
1999-04,0.014851476813676007
1999-05,0.049645316675107146
1999-06,0.004108879660604346
1999-07,-0.016313990648021588
1999-08,-0.00935977318719106
1999-09,-0.08598154528863663
1999-10,-0.0648412453444892
1999-11,0.04093966038981149
1999-12,-0.08020649585958126
2000-01,-0.06230069327108617
2000-02,-0.06214639130614958
2000-03,0.043322918758415346
2000-04,0.03474764567339053
2000-05,0.1368728107515782
2000-06,0.043186125870009966
2000-07,-0.0016907541557962835
2000-08,0.059941962983923285
2000-09,0.03075535329895454
2000-10,0.13564215323095094
2000-11,0.052345704127585276
2000-12,0.07006594538810197
2001-01,-0.01788197197649617
2001-02,0.020916902202213237
2001-03,-0.023797346335184967
2001-04,0.023631870666018427
2001-05,0.03309108564574252
2001-06,-0.028182664757878843
2001-07,-0.0373177406255351
2001-08,0.03451890596919026
2001-09,-0.0037272670790774783
2001-10,-0.01203546919121666
2001-11,0.011795920240989601
2001-12,-0.01004765744370032
2002-01,0.017585391438480796
2002-02,0.05061109848097957
2002-03,0.03145828879967425
2002-04,0.030428261014669014
2002-05,0.020196430690990273
2002-06,-0.12279845164608873
2002-07,-0.007117223932119539
2002-08,0.04892748651359709
2002-09,-0.10891430887702913
2002-10,0.032130042819660226
2002-11,-0.05155010558349498
2002-12,0.0323488420792094
2003-01,-0.04555511449329936
2003-02,-0.00791775871988482
2003-03,-0.10986134508451148
